borrower_id,age,borrower_type,state,household_size,income_month_1,income_month_2,income_month_3,income_month_4,income_month_5,income_month_6,employment_type,months_at_current_job,num_income_sources,upi_transactions_per_month,upi_avg_transaction_amount,upi_months_active,mobile_wallet_used,utility_bills_paid,utility_bills_total,rent_paid_on_time_months,total_rental_months,same_number_since_year,avg_monthly_recharge_amount,recharge_frequency_per_month,ecomm_orders_per_month,ecomm_return_rate,prepaid_orders_ratio,survey_q1,survey_q2,survey_q3,survey_q4,survey_q5,survey_q6,survey_q7,survey_q8,loan_amount_requested,loan_purpose,loan_tenure_months,default_probability,defaulted,avg_income,income_std,income_growth,income_stability_score,utility_payment_rate,rent_reliability_rate,payment_reliability_score,mobile_years,digital_trust_score
B00001,26,gig,Tamil Nadu,2,25112.52,36128.96,41754.54,33482.23,39488.57,41097.82,daily-wage,28,3,58.4,2482.14,20.0,0.0,21,22,19.0,20.0,2019.0,624.91,2.42,14.0,0.223,0.8956075818437034,4.0,5.0,4.0,5.0,3.0,5.0,2.0,4.0,308100.0,education,35,0.1163,0,36177.44,6260.618619468845,63.65470291312859,82.69468868037968,0.9545454545454546,0.95,95.22727272727273,7.0,46.55649041855939
B00002,40,gig,Tamil Nadu,2,43018.58,43556.73,46889.29,37097.08,29266.94,47789.39,self-employed,31,4,105.9,2611.91,26.0,1.0,6,8,21.0,23.0,2013.0,560.41,2.18,14.2,0.209,0.68481267721074,4.0,5.0,3.0,4.0,4.0,3.0,2.0,4.0,59000.0,consumption,23,0.1155,0,41269.668333333335,6983.584211785283,11.090115015418913,83.07816734707153,0.75,0.9130434782608695,83.15217391304348,13.0,87.6901591729178
B00003,40,gig,Delhi,2,22393.83,22029.16,20600.81,21650.81,20712.85,12520.48,daily-wage,11,2,6.7,1059.73,0.0,1.0,2,9,3.0,19.0,2020.0,576.4,0.82,5.8,0.419,0.5778154333832182,2.0,2.0,4.0,2.0,2.0,2.0,5.0,2.0,370000.0,business,27,0.4744,0,19984.656666666666,3725.1582713311213,-44.08959967991184,81.35990858654839,0.2222222222222222,0.15789473684210525,19.005847953216374,6.0,24.25786794752312
B00004,33,migrant,Karnataka,1,14685.66,17252.28,13094.54,19138.44,18618.38,13964.88,self-employed,1,2,12.1,1486.67,5.0,0.0,1,9,1.0,13.0,2019.0,534.45,0.76,2.6,0.465,0.0143303279772591,2.0,3.0,4.0,3.0,1.0,1.0,3.0,1.0,102500.0,agriculture,40,0.494,0,16125.696666666669,2549.1185773099423,-4.908053162064222,84.19219566135577,0.1111111111111111,0.07692307692307693,9.401709401709402,7.0,15.863224690810899
B00005,32,rural,Madhya Pradesh,6,15519.26,14988.01,20066.19,12933.0,14981.56,37194.16,self-employed,34,3,85.4,2331.27,30.0,1.0,12,17,0.0,0.0,2016.0,302.28,2.36,10.7,0.192,0.4263402902033973,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,308200.0,agriculture,55,0.3691,0,19280.363333333335,9086.919845260367,139.66452008665362,52.86956117911834,0.7058823529411765,0.7058823529411765,70.58823529411765,10.0,81.06579161751574
B00006,28,rural,Odisha,5,10443.02,10377.39,15641.73,8846.84,9671.84,21000.85,seasonal,28,2,0.0,0.0,0.0,0.0,7,23,7.0,11.0,2019.0,299.01,1.56,9.1,0.385,0.4498739158001443,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,331700.0,business,40,0.6167,1,12663.611666666664,4734.0260319158215,101.09939461956405,62.61709410770395,0.30434782608695654,0.6363636363636364,47.03557312252965,7.0,11.76923076923077
B00007,22,migrant,Tamil Nadu,4,19935.14,28936.97,27272.33,20508.21,26883.04,32902.68,salaried-gig,10,3,68.8,0.0,25.0,1.0,5,8,13.0,24.0,2022.0,603.27,1.99,9.4,0.255,0.6907197435923289,4.0,3.0,2.0,4.0,4.0,4.0,2.0,3.0,94000.0,consumption,23,0.2626,0,26073.061666666665,5011.618968251345,65.04865278096868,80.7785559198117,0.625,0.5416666666666666,58.33333333333333,4.0,61.982873758735835
B00008,29,gig,Karnataka,2,17764.49,8672.73,26451.26,28718.96,17417.04,13356.06,self-employed,13,2,22.3,1583.97,7.0,0.0,1,16,3.0,20.0,2021.0,515.26,1.54,0.6,0.42,0.65601628622805,1.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,166900.0,business,6,0.5125,0,18730.09,7643.05125350864,-24.815967134435056,59.19372916249394,0.0625,0.15,10.625,5.0,20.153270463615293
B00009,55,rural,Rajasthan,6,9570.11,8291.51,14613.12,8082.18,9965.08,17100.53,self-employed,18,2,0.0,0.0,0.0,0.0,3,7,0.0,0.0,2020.0,285.65,1.06,0.0,0.0,0.5221343488601424,2.0,2.0,5.0,2.0,2.0,3.0,4.0,4.0,310600.0,agriculture,42,0.5367,0,11270.421666666667,3709.3819323300563,78.68686984789096,67.08746094832546,0.42857142857142855,0.42857142857142855,42.857142857142854,6.0,8.307692307692308
B00010,26,migrant,Maharashtra,3,17716.61,20254.31,24508.97,23316.4,19372.44,22743.63,self-employed,8,3,26.3,1357.1,1.0,1.0,3,7,2.0,7.0,2021.0,570.08,1.47,11.4,0.262,0.2920256939011596,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,443100.0,consumption,37,0.6727,1,21318.72666666667,2611.3199685727272,28.374615685506427,87.75105094500925,0.42857142857142855,0.2857142857142857,35.71428571428571,5.0,31.456944887979372
B00011,48,rural,Bihar,4,8724.77,13503.29,21137.7,10985.36,12623.01,19790.2,seasonal,28,3,59.4,1297.27,20.0,0.0,10,20,0.0,0.0,2017.0,240.03,1.85,0.0,0.0,0.5221343488601424,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,394000.0,agriculture,43,0.4367,0,14460.721666666666,4944.8664040979575,126.82775591792104,65.80484350586498,0.5,0.5,50.0,9.0,47.72069573793712
